, Cl 8 Production US , Cl 8 Production Canada , Cl 8 Production  Mexico , Cl 8 Production  Exports , CL 8 Production  N.A. , CL 5-7 Production US , CL 5-7 Production Canada , CL 5-7 Production Mexico , CL 5-7 Production Exports , CL 5-7 Production N.A. ,,,,,,,,,,,
Jun-05," 24,660 "," 3,603 "," 1,563 "," 1,011 "," 30,837 "," 20,818 "," 1,320 "," 1,247 ", 98 ," 23,483 ",,,,,,,,,,,
Jul-05," 20,461 "," 2,963 "," 1,300 "," 1,402 "," 26,126 "," 14,325 "," 1,154 "," 1,063 ", 256 ," 16,798 ",,,,,,,,,,,
Aug-05," 24,001 "," 3,553 "," 1,614 "," 1,702 "," 30,870 "," 20,260 "," 1,141 "," 1,005 ", 126 ," 22,532 ",,,,,,,,,,,
Sep-05," 23,516 "," 3,417 "," 1,574 "," 1,787 "," 30,294 "," 19,841 ", 963 ," 1,314 ", 188 ," 22,306 ",,,,,,,,,,,
Oct-05," 24,972 "," 3,076 "," 1,653 "," 1,832 "," 31,533 "," 21,539 "," 1,211 "," 1,164 ", 247 ," 24,161 ",,,,,,,,,,,
Nov-05," 20,799 "," 2,397 "," 1,598 "," 1,411 "," 26,205 "," 14,934 ", 887 ," 1,179 ", 178 ," 17,178 ",,,,,,,,,,,
Dec-05," 18,940 "," 2,164 "," 1,014 "," 1,408 "," 23,526 "," 13,956 ", 828 , 842 , 95 ," 15,721 ",,,,,,,,,,,
Jan-06," 23,784 "," 2,955 "," 1,292 "," 1,487 "," 29,518 "," 17,853 "," 1,365 ", 979 , 134 ," 20,331 ",,,,,,,,,,,
Feb-06," 23,070 "," 3,248 "," 1,141 "," 1,405 "," 28,864 "," 18,336 "," 1,072 "," 1,237 ", 186 ," 20,831 ",,,,,,,,,,,
Mar-06," 25,736 "," 4,144 "," 1,325 "," 1,865 "," 33,070 "," 25,196 "," 1,544 "," 1,415 ", 166 ," 28,321 ",,,,,,,,,,,
Apr-06," 22,887 "," 3,024 "," 1,403 "," 1,492 "," 28,806 "," 18,563 "," 1,151 "," 1,090 ", 161 ," 20,965 ",,,,,,,,,,,
May-06," 26,814 "," 3,492 "," 1,810 "," 2,274 "," 34,390 "," 21,773 "," 1,367 "," 1,201 ", 230 ," 24,571 ",,,,,,,,,,,
Jun-06," 21,811 "," 2,603 "," 1,741 "," 1,596 "," 27,751 "," 21,299 "," 1,010 "," 1,039 ", 290 ," 23,638 ",,,,,,,,,,,
Jul-06," 23,628 "," 2,990 "," 1,763 "," 1,943 "," 30,324 "," 18,017 ", 921 ," 1,196 ", 374 ," 20,508 ",,,,,,,,,,,
Aug-06," 28,070 "," 3,668 "," 1,560 "," 2,719 "," 36,017 "," 22,848 "," 1,095 "," 1,171 ", 273 ," 25,387 ",,,,,,,,,,,
Sep-06," 25,989 "," 3,696 "," 1,724 "," 2,008 "," 33,417 "," 21,093 "," 1,117 "," 1,196 ", 184 ," 23,590 ",,,,,,,,,,,
Oct-06," 29,083 "," 4,003 "," 1,775 "," 1,865 "," 36,726 "," 23,204 "," 1,234 "," 1,279 ", 170 ," 25,887 ",,,,,,,,,,,
Nov-06," 26,054 "," 3,504 "," 1,959 "," 1,724 "," 33,241 "," 19,895 "," 1,020 "," 1,066 ", 202 ," 22,183 ",,,,,,,,,,,
Dec-06," 19,254 "," 2,175 "," 1,447 "," 1,448 "," 24,324 "," 16,562 "," 1,150 "," 1,106 ", 302 ," 19,120 ",,,,,,,,,,,
Jan-07," 21,184 "," 2,982 "," 1,751 "," 2,805 "," 28,722 "," 17,503 ", 989 ," 1,276 ", 308 ," 20,076 ",,,,,,,,,,,
Feb-07," 16,915 "," 2,160 "," 1,711 "," 2,439 "," 23,225 "," 16,619 "," 1,024 "," 1,271 ", 302 ," 19,216 ",,,,,,,,,,,
Mar-07," 15,834 "," 2,300 "," 2,002 "," 2,345 "," 22,481 "," 18,491 "," 1,394 "," 1,530 ", 292 ," 21,707 ",,,,,,,,,,,
Apr-07," 8,456 "," 1,672 "," 2,443 "," 2,181 "," 14,752 "," 14,842 "," 1,663 "," 1,246 ", 334 ," 18,085 ",,,,,,,,,,,
May-07," 7,998 "," 1,687 "," 2,667 "," 2,741 "," 15,093 "," 16,408 "," 1,159 "," 1,311 ", 239 ," 19,117 ",,,,,,,,,,,
Jun-07," 8,775 "," 1,662 "," 2,263 "," 2,528 "," 15,228 "," 16,013 ", 957 ," 1,027 ", 262 ," 18,259 ",,,,,,,,,,,
Jul-07," 7,493 "," 1,235 "," 2,552 "," 2,700 "," 13,980 "," 12,483 ", 908 ," 1,088 ", 235 ," 14,714 ",,,,,,,,,,,
Aug-07," 9,411 "," 1,683 "," 3,023 "," 3,624 "," 17,741 "," 13,532 ", 913 ," 1,306 ", 265 ," 16,016 ",,,,,,,,,,,
Sep-07," 8,627 "," 1,522 "," 2,008 "," 2,643 "," 14,800 "," 12,953 "," 1,077 "," 1,164 ", 240 ," 15,434 ",,,,,,,,,,,
Oct-07," 10,428 "," 1,656 "," 2,535 "," 3,627 "," 18,246 "," 14,541 ", 910 ," 1,011 ", 207 ," 16,669 ",,,,,,,,,,,
Nov-07," 9,374 "," 1,564 "," 1,096 "," 2,292 "," 14,326 "," 12,245 ", 780 ," 1,059 ", 312 ," 14,396 ",,,,,,,,,,,
Dec-07," 9,091 "," 1,511 "," 1,237 "," 1,958 "," 13,797 "," 11,442 ", 847 , 780 , 196 ," 13,265 ",,,,,,,,,,,
Jan-08," 11,362 "," 2,244 "," 1,902 "," 2,758 "," 18,266 "," 11,318 ", 993 , 923 , 181 ," 13,415 ",,,,,,,,,,,
Feb-08," 9,585 "," 2,047 "," 1,787 "," 2,567 "," 15,986 "," 13,242 "," 1,192 "," 1,050 ", 224 ," 15,708 ",,,,,,,,,,,
Mar-08," 9,593 "," 1,836 "," 1,739 "," 2,289 "," 15,457 "," 13,871 "," 1,251 "," 1,009 ", 194 ," 16,325 ",,,,,,,,,,,
Apr-08," 12,155 "," 2,488 "," 2,779 "," 2,724 "," 20,146 "," 14,520 "," 1,251 "," 1,296 ", 209 ," 17,276 ",,,,,,,,,,,
May-08," 11,684 "," 1,863 "," 2,492 "," 2,739 "," 18,778 "," 13,516 "," 1,304 "," 1,462 ", 256 ," 16,538 ",,,,,,,,,,,
Jun-08," 11,667 "," 1,765 "," 2,595 "," 2,838 "," 18,865 "," 10,919 "," 1,146 "," 1,593 ", 246 ," 13,904 ",,,,,,,,,,,
Jul-08," 9,728 "," 1,424 "," 2,424 "," 2,761 "," 16,337 "," 8,455 "," 1,133 "," 1,306 ", 275 ," 11,169 ",,,,,,,,,,,
Aug-08," 10,958 "," 1,721 "," 2,229 "," 2,397 "," 17,305 "," 8,885 "," 1,243 "," 1,190 ", 207 ," 11,525 ",,,,,,,,,,,
Sep-08," 12,147 "," 1,910 "," 1,832 "," 2,211 "," 18,100 "," 8,041 "," 1,266 "," 1,145 ", 241 ," 10,693 ",,,,,,,,,,,
Oct-08," 13,279 "," 1,778 "," 1,223 "," 2,693 "," 18,973 "," 9,419 ", 956 , 908 , 180 ," 11,463 ",,,,,,,,,,,
Nov-08," 10,200 "," 1,440 ", 417 ," 2,025 "," 14,082 "," 7,831 "," 1,117 ", 445 , 218 ," 9,611 ",,,,,,,,,,,
Dec-08," 9,965 "," 1,265 ", 590 ," 1,524 "," 13,344 "," 9,233 ", 746 , 630 , 108 ," 10,717 ",,,,,,,,,,,
Jan-09," 7,829 "," 1,288 ", 167 , 882 ," 10,166 "," 6,620 ", 500 , 307 , 190 ," 7,617 ",,,,,,,,,,,
Feb-09," 6,672 "," 1,209 ", 237 ," 1,250 "," 9,368 "," 6,998 ", 555 , 317 , 65 ," 7,935 ",,,,,,,,,,,
Mar-09," 7,236 ", 933 , 346 , 439 ," 8,954 "," 7,316 ", 691 , 481 , 65 ," 8,553 ",,,,,,,,,,,
Apr-09," 6,054 ", 645 , 283 , 388 ," 7,370 "," 5,647 ", 568 , 337 , 58 ," 6,610 ",,,,,,,,,,,
May-09," 6,043 ", 636 , 419 , 487 ," 7,585 "," 6,104 ", 610 , 356 , 51 ," 7,121 ",,,,,,,,,,,
Jun-09," 8,052 ", 869 , 371 , 516 ," 9,808 "," 7,452 ", 649 , 466 , 70 ," 8,637 ",,,,,,,,,,,
Jul-09," 7,265 ", 692 , 530 , 343 ," 8,830 "," 6,253 ", 549 , 452 , 66 ," 7,320 ",,,,,,,,,,,
Aug-09," 8,057 "," 1,139 ", 549 , 361 ," 10,106 "," 6,176 ", 763 , 521 , 98 ," 7,558 ",,,,,,,,,,,
Sep-09," 8,679 "," 1,244 ", 577 , 471 ," 10,971 "," 6,731 ", 386 , 618 , 90 ," 7,825 ",,,,,,,,,,,
Oct-09," 9,874 "," 1,223 ", 568 , 590 ," 12,255 "," 8,756 ", 470 , 686 , 89 ," 10,001 ",,,,,,,,,,,
Nov-09," 8,865 "," 1,413 ", 504 , 520 ," 11,302 "," 7,764 ", 655 , 737 , 87 ," 9,243 ",,,,,,,,,,,
Dec-09," 9,120 "," 1,493 ", 642 , 426 ," 11,681 "," 7,989 ", 667 , 592 , 107 ," 9,355 ",,,,,,,,,,,
Jan-10," 8,659 "," 1,668 ", 497 , 532 ," 11,356 "," 7,881 ", 534 , 480 , 110 ," 9,005 ",,,,,,,,,,,
Feb-10," 8,101 "," 1,612 ", 650 , 776 ," 11,139 "," 7,167 ", 525 , 519 , 130 ," 8,341 ",,,,,,,,,,,
Mar-10," 8,969 "," 1,926 ", 722 , 877 ," 12,494 "," 8,296 ", 706 , 576 , 211 ," 9,789 ",,,,,,,,,,,
Apr-10," 8,106 "," 1,474 ", 748 , 931 ," 11,259 "," 7,556 ", 622 , 513 , 157 ," 8,848 ",,,,,,,,,,,
May-10," 7,394 "," 1,300 "," 1,121 "," 1,006 "," 10,821 "," 7,970 ", 547 , 709 , 223 ," 9,449 ",,,,,,,,,,,
Jun-10," 8,801 "," 1,653 "," 1,175 "," 1,488 "," 13,117 "," 8,450 ", 740 , 779 , 179 ," 10,148 ",,,,,,,,,,,
Jul-10," 8,247 "," 1,315 "," 1,140 "," 1,144 "," 11,846 "," 7,458 ", 660 , 647 , 182 ," 8,947 ",,,,,,,,,,,
Aug-10," 9,895 "," 1,585 "," 1,277 "," 1,309 "," 14,066 "," 8,831 ", 699 , 581 , 223 ," 10,334 ",,,,,,,,,,,
Sep-10," 9,655 "," 1,521 "," 1,478 "," 1,748 "," 14,402 "," 9,117 ", 618 , 653 , 280 ," 10,668 ",,,,,,,,,,,
Oct-10," 9,788 "," 1,594 "," 1,593 "," 1,682 "," 14,657 "," 9,998 ", 879 , 464 , 168 ," 11,509 ",,,,,,,,,,,
Nov-10," 11,319 "," 1,562 "," 1,259 "," 1,630 "," 15,770 "," 9,374 ", 647 , 373 , 152 ," 10,546 ",,,,,,,,,,,
Dec-10," 9,497 "," 1,337 "," 1,057 "," 1,355 "," 13,246 "," 9,252 ", 680 , 644 , 64 ," 10,640 ",,,,,,,,,,,
Jan-11," 11,546 "," 1,621 "," 1,153 "," 1,431 "," 15,751 "," 10,194 ", 672 , 466 , 117 ," 11,449 ",,,,,,,,,,,
Feb-11," 10,695 "," 1,721 "," 1,080 "," 1,508 "," 15,004 "," 10,872 ", 919 , 583 , 212 ," 12,586 ",,,,,,,,,,,
Mar-11," 14,394 "," 2,187 "," 1,641 "," 2,156 "," 20,378 "," 13,336 "," 1,268 ", 750 , 313 ," 15,667 ",,,,,,,,,,,
Apr-11," 13,343 "," 1,900 "," 1,235 "," 1,775 "," 18,253 "," 14,357 "," 1,078 ", 554 , 199 ," 16,188 ",,,,,,,,,,,
May-11," 14,630 "," 2,362 "," 1,615 "," 2,397 "," 21,004 "," 12,986 ", 890 , 648 , 221 ," 14,745 ",,,,,,,,,,,
Jun-11," 14,833 "," 2,564 "," 1,510 "," 2,376 "," 21,283 "," 11,844 "," 1,247 ", 664 , 116 ," 13,871 ",,,,,,,,,,,
Jul-11," 13,901 "," 1,968 "," 1,320 "," 2,410 "," 19,599 "," 8,999 ", 858 , 761 , 175 ," 10,793 ",,,,,,,,,,,
Aug-11," 17,917 "," 3,013 "," 1,343 "," 2,957 "," 25,230 "," 14,390 ", 798 , 763 , 173 ," 16,124 ",,,,,,,,,,,
Sep-11," 16,616 "," 2,898 "," 1,267 "," 2,794 "," 23,575 "," 13,023 ", 962 , 785 , 165 ," 14,935 ",,,,,,,,,,,
Oct-11," 19,099 "," 2,354 "," 1,476 "," 2,698 "," 25,627 "," 11,993 "," 1,104 ", 772 , 223 ," 14,092 ",,,,,,,,,,,
Nov-11," 18,542 "," 2,291 "," 1,281 "," 3,084 "," 25,198 "," 11,624 ", 807 , 587 , 164 ," 13,182 ",,,,,,,,,,,
Dec-11," 17,936 "," 2,406 "," 1,206 "," 2,517 "," 24,065 "," 12,110 ", 800 , 620 , 89 ," 13,619 ",,,,,,,,,,,
Jan-12," 18,425 "," 2,881 ", 858 ," 2,884 "," 25,048 "," 10,818 ", 997 , 722 , 173 ," 12,710 ",,,,,,,,,,,
Feb-12," 19,134 "," 3,118 "," 1,132 "," 2,839 "," 26,223 "," 14,018 "," 1,266 ", 733 , 124 ," 16,141 ",,,,,,,,,,,
Mar-12," 18,511 "," 3,515 "," 1,436 "," 2,794 "," 26,256 "," 16,864 "," 1,211 ", 941 , 190 ," 19,206 ",,,,,,,,,,,
Apr-12," 17,151 "," 2,891 "," 1,591 "," 2,797 "," 24,430 "," 13,685 "," 1,278 ", 858 , 201 ," 16,022 ",,,,,,,,,,,
May-12," 18,909 "," 3,175 "," 2,065 "," 3,098 "," 27,247 "," 15,325 "," 1,265 ", 723 , 255 ," 17,568 ",,,,,,,,,,,
Jun-12," 19,304 "," 2,476 "," 1,923 "," 2,393 "," 26,096 "," 14,927 "," 1,169 ", 590 , 182 ," 16,868 ",,,,,,,,,,,
Jul-12," 16,290 "," 2,254 "," 2,021 "," 2,014 "," 22,579 "," 11,717 ", 829 , 643 , 114 ," 13,303 ",,,,,,,,,,,
Aug-12," 16,171 "," 2,623 "," 2,547 "," 1,500 "," 22,841 "," 13,364 ", 814 , 824 , 194 ," 15,196 ",,,,,,,,,,,
Sep-12," 13,622 "," 1,996 "," 2,413 "," 1,157 "," 19,188 "," 12,373 ", 715 , 768 , 181 ," 14,037 ",,,,,,,,,,,
Oct-12," 14,954 "," 2,054 "," 2,253 "," 1,288 "," 20,549 "," 15,010 ", 864 ," 1,080 ", 254 ," 17,208 ",,,,,,,,,,,
Nov-12," 15,136 "," 1,985 "," 1,129 "," 1,518 "," 19,768 "," 13,322 ", 779 , 684 , 97 ," 14,882 ",,,,,,,,,,,
Dec-12," 13,706 "," 1,597 "," 1,011 ", 974 ," 17,288 "," 13,706 ", 731 , 657 , 93 ," 15,187 ",,,,,,,,,,,
Jan-13," 12,335 "," 2,130 "," 1,532 "," 1,352 "," 17,349 "," 13,146 ", 763 , 930 , 168 ," 15,007 ",,,,,,,,,,,
Feb-13," 12,540 "," 2,362 "," 1,582 "," 1,487 "," 17,971 "," 12,265 "," 1,129 ", 641 , 200 ," 14,235 ",,,,,,,,,,,
Mar-13," 14,313 "," 2,167 "," 1,550 "," 1,523 "," 19,553 "," 13,800 "," 1,077 ", 644 , 137 ," 15,658 ",,,,,,,,,,,
Apr-13," 16,577 "," 2,390 "," 2,055 "," 1,574 "," 22,596 "," 16,072 "," 1,047 ", 745 , 118 ," 17,982 ",,,,,,,,,,,
May-13," 16,492 "," 2,437 "," 2,146 "," 1,929 "," 23,004 "," 15,370 "," 1,371 ", 817 , 126 ," 17,684 ",,,,,,,,,,,
Jun-13," 15,749 "," 2,242 "," 2,287 "," 1,213 "," 21,491 "," 16,151 "," 1,133 ", 774 , 178 ," 18,236 ",,,,,,,,,,,
Jul-13," 16,956 "," 2,295 "," 1,999 "," 1,208 "," 22,458 "," 15,972 ", 852 , 710 , 130 ," 17,664 ",,,,,,,,,,,
Aug-13," 15,370 "," 2,074 "," 1,731 "," 1,241 "," 20,416 "," 15,118 ", 988 , 715 , 213 ," 17,034 ",,,,,,,,,,,
Sep-13," 15,634 "," 2,293 "," 1,656 "," 1,058 "," 20,641 "," 14,946 ", 824 , 677 , 159 ," 16,606 ",,,,,,,,,,,
Oct-13," 17,841 "," 2,267 "," 1,735 "," 1,283 "," 23,126 "," 17,825 ", 760 ," 1,026 ", 81 ," 19,692 ",,,,,,,,,,,
Nov-13," 15,632 "," 1,630 "," 1,210 "," 1,271 "," 19,743 "," 15,226 ", 810 , 508 , 88 ," 16,632 ",,,,,,,,,,,
Dec-13," 13,980 "," 1,521 ", 983 , 969 ," 17,453 "," 13,438 ", 761 , 717 , 53 ," 14,969 ",,,,,,,,,,,
Jan-14," 17,140 "," 2,379 "," 1,076 "," 1,159 "," 21,754 "," 13,975 ", 689 , 633 , 165 ," 15,462 ",,,,,,,,,,,
Feb-14," 16,295 "," 2,428 "," 1,247 "," 1,302 "," 21,272 "," 14,725 "," 1,080 ", 539 , 150 ," 16,494 ",,,,,,,,,,,
Mar-14," 18,143 "," 2,643 "," 1,746 "," 1,434 "," 23,966 "," 16,970 "," 1,018 ", 705 , 179 ," 18,872 ",,,,,,,,,,,
Apr-14," 17,920 "," 2,619 "," 1,526 "," 1,260 "," 23,325 "," 19,926 "," 1,088 ", 968 , 79 ," 22,061 ",,,,,,,,,,,
May-14," 19,877 "," 2,595 "," 1,577 "," 1,055 "," 25,104 "," 16,765 "," 1,148 ", 622 , 311 ," 18,846 ",,,,,,,,,,,
Jun-14," 20,080 "," 2,701 "," 1,551 ", 892 ," 25,224 "," 16,611 "," 1,217 ", 629 , 157 ," 18,614 ",,,,,,,,,,,
Jul-14," 21,394 "," 2,342 "," 1,477 ", 876 ," 26,089 "," 16,944 "," 1,027 ", 914 , 166 ," 19,051 ",,,,,,,,,,,
Aug-14," 20,924 "," 2,448 "," 1,358 "," 1,120 "," 25,850 "," 16,934 ", 944 , 783 , 273 ," 18,934 ",,,,,,,,,,,
Sep-14," 21,402 "," 2,805 "," 1,776 "," 1,720 "," 27,703 "," 17,690 ", 956 , 758 , 392 ," 19,796 ",,,,,,,,,,,
Oct-14," 23,668 "," 2,839 "," 1,737 "," 2,053 "," 30,297 "," 19,015 ", 939 , 954 , 336 ," 21,244 ",,,,,,,,,,,
Nov-14," 18,506 "," 2,388 "," 2,008 "," 1,623 "," 24,525 "," 15,689 ", 869 , 710 , 151 ," 17,419 ",,,,,,,,,,,
Dec-14," 17,272 "," 2,383 "," 1,646 ", 687 ," 21,988 "," 17,630 ", 879 , 634 , 83 ," 19,226 ",,,,,,,,,,,
Jan-15," 20,713 "," 2,398 "," 1,161 ", 603 ," 24,875 ",,,,,,,,,,,,,,,,
Feb-15," 20,217 "," 2,966 "," 1,276 ", 531 ," 24,990 ",,,,,,,,,,,,,,,,
